,Nome,Sobrenome,Data de Nascimento,Loja,Produto,Data,Quantidade Vendida,Preco,Faturamento,Mes_Vendas,Mes_Vendas_Num
115,Patricia,Camara,01/03/1993,Salvador,Vestido,2018-01-02,147,110,16170,Janeiro,1
76,Elizeu,Barros,06/02/1987,Curitiba,Vestido,2018-01-23,130,110,14300,Janeiro,1
75,NatÃ¡lia,Huon,13/04/1990,Porto Alegre,Saia,2018-01-23,144,300,43200,Janeiro,1
77,Maryanna,Correa,10/06/1988,Rio de Janeiro,Vestido,2018-01-23,90,55,4950,Janeiro,1
79,Eduarda,Figueiredo,09/10/1987,Porto Alegre,Pulseira,2018-01-23,64,25,1600,Janeiro,1
80,Iago,Bensdorp,06/04/1987,Brasilia,Camiseta,2018-01-23,2,300,600,Janeiro,1
73,Iago,Bensdorp,09/02/1985,Curitiba,Vestido,2018-01-22,121,55,6655,Janeiro,1
74,Maryanna,Correa,27/02/1990,Brasilia,Camiseta,2018-01-22,17,30,510,Janeiro,1
37,Elizeu,Barros,07/08/1989,Sao Paulo,Sapato,2018-01-13,150,85,12750,Janeiro,1
39,Izabel,Milagre,11/09/1992,Salvador,Short,2018-01-13,55,190,10450,Janeiro,1
40,Andrew,Carvalhal,12/09/1993,Curitiba,Bermuda,2018-01-13,21,250,5250,Janeiro,1
41,Elizeu,Barros,28/11/1992,Fortaleza,Chinelo,2018-01-13,49,55,2695,Janeiro,1
38,Elizeu,Barros,08/12/1988,Sao Paulo,Tenis,2018-01-13,71,150,10650,Janeiro,1
72,Emanuella,Fialho,11/09/1988,Rio de Janeiro,Casaco,2018-01-22,112,150,16800,Janeiro,1
78,Eduarda,Figueiredo,20/11/1992,Rio de Janeiro,Short,2018-01-23,22,75,1650,Janeiro,1
42,Elizeu,Barros,14/01/1991,Rio de Janeiro,Saia,2018-01-14,89,250,22250,Janeiro,1
44,Patricia,Camara,21/10/1986,Curitiba,Sapato,2018-01-14,35,110,3850,Janeiro,1
45,Paloma,Farias,20/09/1989,Brasilia,Vestido,2018-01-14,14,190,2660,Janeiro,1
104,Elizeu,Barros,04/05/1988,Curitiba,Vestido,2018-01-30,138,110,15180,Janeiro,1
71,Andrew,Carvalhal,12/05/1988,Fortaleza,Jaqueta,2018-01-21,36,25,900,Janeiro,1
69,Elizeu,Barros,18/12/1988,Porto Alegre,Saia,2018-01-21,10,190,1900,Janeiro,1
68,Andrew,Carvalhal,08/10/1991,Curitiba,Casaco,2018-01-21,20,250,5000,Janeiro,1
67,Eduarda,Figueiredo,30/04/1989,Rio de Janeiro,Casaco,2018-01-21,137,75,10275,Janeiro,1
70,Jucelia,Bailly,28/12/1992,Brasilia,Jaqueta,2018-01-21,68,25,1700,Janeiro,1
66,Izabel,Milagre,11/05/1991,Fortaleza,Casaco,2018-01-20,68,30,2040,Janeiro,1
50,Andrew,Carvalhal,09/01/1993,Sao Paulo,Bermuda,2018-01-15,73,25,1825,Janeiro,1
49,Elizeu,Barros,26/03/1986,Fortaleza,Sapato,2018-01-15,11,200,2200,Janeiro,1
48,Eduarda,Figueiredo,30/04/1989,Fortaleza,Saia,2018-01-15,64,85,5440,Janeiro,1
